Acct #	Cust #	Week #	New Rt	New Delivery Day	New Stop	Customer Name	DisplayAddressFull	X_Longitude	Y_Latitude	Custom
99031	80	Week1	38	F	1	BLARNEY CASTLE #426	4946 GARFIELD RD., KINGSLEY MI 49649 US,   US	-85.526946	44.613748	
229485	0	Week1	38	F	2	FEDERAL SCREW WORKS	2270 Traversefield Dr, Traverse City MI 49686 US,,   US	-85.5864155	44.7194657	
99103	41	Week1	38	F	3	VILLAGE PANTRY #5056	2001 GARFIELD ROAD NORTH, TRAVERSE CITY MI 49686 U,   US	-85.596023	44.715559	
233250	0	Week1	38	F	4	GRAND TRAVERSE CTY ROAD COMM	1881 LAFRANIER RD., TRAVERSE CITY MI 49696 US,   US	-85.607295	44.713102	
99054	14	Week1	38	F	5	CHARTER	1392 TRADE DR., TRAVERSE CITY MI 49686 US,   US	-85.6008937	44.7146473	
233287	0	Week1	38	F	6	FRENCH MANOR TERRA	1420 TERRA ROAD, TRAVERSE CITY MI 49686 US,   US	-85.604445	44.725761	
232053	0	Week3	38	F	6	PLASCON GROUP	2375 TRAVERSEFIELD DRIVE, TRAVERSE CITY MI 49686 U,   US	-85.5896151	44.7210094	1
232534	0	Week1	38	F	7	FRENCH MANOR LAFRANIER	3090 LAFRANIER, TRAVERSE CITY MI 49686 US,   US	-85.605107	44.731125	1
99140	3	Week1	38	F	8	ARBY'S TC2	1370 SOUTH AIRPORT ROAD, TRAVERSE CITY MI 49684 US,   US	-85.602775	44.733773	2
228747	0	Week1	38	F	9	WILLIES REAR	1315 S AIRPORT, TRAVERSE CITY MI 49684 US,   US	-85.601865	44.732873	2
228746	0	Week2	38	F	9	BEVERAGE COMPANY	1116 CARVER, TRAVERSE CITY MI 49686 US,   US	-85.594326	44.747358	2
231300	0	Week1	38	F	10	ALL-PHASE ELECTRIC	926 W SOUTH AIRPORT, TRAVERSE CITY MI 49686 US,   US	-85.593492	44.733918	2
232261	0	Week3	38	F	10	LUCKY JACKS	1705 S. GARFIELD AVE, TRAVERSE CITY MI 49686 US,   US	-85.592079	44.736396	1
232757	0	Week1	38	F	11	NORTHERN AUTO SERVICE	501 W.S. AIRPORT RD, TRAVERSE CITY MI 49686 US,   US	-85.585531	44.732924	
218419	0	Week2	38	F	11	RANDY'S DINER	1120 CARVER, TRAVERSE CITY MI 49686 US,   US	-85.593942	44.747552	1
99035	89	Week1	38	F	12	INDEPENDENT BANK #642	1239 SOUTH GARFIELD, TRAVERSE CITY MI 49686 US,   US	-85.594938	44.745345	
229274	0	Week3	38	F	12	TRAVERSE HEALTH CLINIC	1719 SOUTH GARFIELD, TRAVERSE CITY MI 49684 US,   US	-85.594237	44.736423	4
231244	0	Week1	38	F	13	EPS	1117 CARVER ST, TRAVERSE CITY MI 49686 US,   US	-85.5942483	44.7480667	
229294	0	Week4	38	F	13	SQUARE DEAL	900 WOODMERE, TRAVERSE CITY MI 49686 US,   US	-85.607974	44.750039	3
99063	11	Week1	38	F	14	DTE ENERGY	1011 HASTINGS STREET, TRAVERSE CITY MI 49684 US,   US	-85.5924455	44.749281	2
233413	0	Week2	38	F	14	GREAT LAKES CHOCOLATE CO	819 S GARFIELD AVE, TRAVERSE CITY MI 49686 US,   US	-85.59556	44.752943	1
232954	0	Week1	38	F	15	DAVE'S GARAGE	911 HASTINGS ST, TRAVERSE CITY MI 49686 US,   US	-85.592291	44.750854	
230939	0	Week2	38	F	15	LOBDELL ENTERPRISES	745 S Garfield Ave, Traverse City MI 49686 US, TRA,   US	-85.594952	44.753275	2
220755	0	Week1	38	F	16	ALLEGRA MARKETING PRINT MAIL	1224 CENTRE ST., TRAVERSE CITY MI 49686 US,   US	-85.5913152	44.7510967	
