Acct #	Cust #	Week #	New Rt	New Delivery Day	New Stop	Customer Name	DisplayAddressFull	X_Longitude	Y_Latitude	Custom
99117	12	Week1	23	F	1	WESCO #35	1361 S. LAKESHORE DR., LAKE CITY MI 49651 US,   US	-85.211917	44.317773	
99103	15	Week1	23	F	2	NEXT DOOR STR #5059	88 N MOREY ROAD, LAKE CITY MI 49651 US,   US	-85.215123	44.340519	
233338	0	Week2	23	F	2	2 THE MOON BAKERY	100 N MAIN ST, LAKE CITY MI 49651 US,   US	-85.214423	44.334431	2
99031	73	Week1	23	F	3	BLARNEY CASTLE #632	414 N MAIN STREET, LAKE CITY MI 49651 US,   US	-85.214072	44.338798	
230355	0	Week2	23	F	3	L.C. FAMILY DINER	119 N MAIN ST, LAKE CITY MI 49651 US,   US	-85.215047	44.335132	1
99033	224	Week1	23	F	4	LAKE CITY ELEMENTARY	5534 W DAVIS RD PO BOX 900, LAKE CITY MI 49651 US,   US	-85.211181	44.337478	
232334	0	Week2	23	F	4	L.C. TAP HOUSE	181 N MOREY RD, LAKE CITY MI 49651 US,   US	-85.216159	44.341733	2
99117	13	Week1	23	F	5	SUBWAY #135	1361 S LAKESHORE DR, LAKE CITY MI 49651 US,   US	-85.211917	44.317773	
229839	0	Week1	23	F	6	MANY BLESSINGS DAIRY	7742 LUCAS RD., MCBAIN MI 49657 US,   US	-85.285107	44.226692	
233496	0	Week1	23	F	7	MCBAIN AUTO AND TRUCK SERVICE	9438 S MOREY RD, MCBAIN MI 49657 US,   US	-85.214641	44.202228	
231874	0	Week1	23	F	8	NORTHERN TRUCK SERVICE	6170 W GERWOUDE DR, MCBAIN MI 49657 US,   US	-85.2165443	44.2024523	
231079	7	Week2	23	F	8	NMCAA GREAT START READINESS	251 RUSSELL ST, LAKE CITY MI 49651 US,   US	-85.211495	44.3373067	1
213627	0	Week1	23	F	9	MCNALLY'S PARTY STOR	108 ROLAND STREET, MCBAIN MI 49657 US,   US	-85.210958	44.191501	
99033	61	Week2	23	F	9	LAKE CITY SCHOOL CAFE	250 E RUSSELL ST PO BOX 900, LAKE CITY MI 49651 US,   US	-85.21131	44.3371067	2
233042	0	Week1	23	F	10	NMC SCHOOL	128 S MARTIN, MCBAIN MI 49657 US,   US	-85.218122	44.189992	3
232934	0	Week1	23	F	11	LUCKY 7 DAIRY	10550 STREIF RD, MCBAIN MI 49657 US,   US	-85.3027085	44.1872922	
231079	3	Week2	23	F	11	NMCAA MISSAUKEE HS	1751 S MOREY RD, LAKE CITY MI 49651 US,   US	-85.2144533	44.3129283	1
233386	0	Week3	23	F	11	DARLA'S STUDIO 66	11620 S BURKETT RD, MARION MI 49665 US,   US	-85.1533935	44.1705142	3
226713	0	Week1	23	F	12	STONEY CORNERS VET	9980 S. LUCAS ROAD, MCBAIN MI 49657 US,   US	-85.285021	44.194324	1
231967	1	Week1	23	F	13	ELLENS EQUIPMENT-SERVICE DEPT	5297 W. STONEY CORNERS, MCBAIN MI 49675 US,   US	-85.19818	44.192764	
226667	0	Week2	23	F	13	WEXFORD COMM CU	4817 S. MOREY RD, LAKE CITY MI 49651 US,   US	-85.21438	44.269484	2
231967	0	Week1	23	F	14	ELLENS EQUIPMENT	5297 W. STONEY CORNERS, MCBAIN MI 49675 US,   US	-85.19818	44.192764	
231801	0	Week1	23	F	15	AUTUMN VISTA DAIRY	1150 W. STONEY CORNERS, MCBAIN MI 49657 US,   US	-85.1161265	44.1940483	
230538	0	Week1	23	F	16	PINEVIEW DISCOUNT GROCERY	9200 S. Burkett Rd, MCBAIN MI 49657 US,   US	-85.154914	44.205839	1
226290	0	Week1	23	F	17	L & J MEAT	3901 S MOREY RD, LAKE CITY MI 49657 US,   US	-85.214343	44.282272	4
232920	0	Week2	23	F	17	FURZ A FLY'N	7999 W. FALMOUTH RD., MCBAIN MI 49657 US,   US	-85.254608	44.236148	2
223634	0	Week1	23	F	18	FRIENDS MINISTRY	3728 South Morey Rd/66, Lake City MI 49601 US,   US	-85.216459	44.285048	
232092	0	Week1	23	F	19	LAKE CITY PRIMARY CARE	1866 S. MOREY, LAKE CITY MI 49651 US,   US	-85.215644	44.311771	1
229905	0	Week2	23	F	19	STONEY CORNERS WINDFARM	6600 W BAKER, MCBAIN MI 49657 US,   US	-85.222575	44.2031267	1
232646	0	Week1	23	F	20	PETERSON MCGREGOR OF LAKE CITY	218 S MAIN ST, LAKE CITY MI 49651 US,   US	-85.214662	44.331819	
224055	0	Week2	23	F	20	NATIONAL ENERGY OF MCBAIN, LLC	6751 W. GERWOUDE, MCBAIN MI 49657 US,   US	-85.2205017	44.204415	1
232691	0	Week1	23	F	21	HAMMER'S PUB AND GRUB	118 S MAIN ST, LAKE CITY MI 49651 US,   US	-85.214993	44.333595	
233387	0	Week1	23	F	22	MARTY'S PIZZA & GRILL	615 N FRONT ST, LAKE CITY MI 49651 US,   US	-85.216158	44.341073	
232257	0	Week1	23	F	23	PANCHO VILLA	106 S. MAIN ST, LAKE CITY MI 49659 US,   US	-85.215036	44.33415	
99044	19	Week2	23	F	23	TCF NATIONAL BANK #1402	101 ROLAND ST., MCBAIN MI 49657 US,   US	-85.2106517	44.1923317	1
99130	0	Week1	23	F	24	FOREST AREA FEDERAL CU	101 S MAIN ST, LAKE CITY MI 49651 US,   US	-85.215106	44.334519	
222338	0	Week1	23	F	25	RAY'S LANDING	2345 S. GREEN RD, LAKE CITY MI 49651 US,   US	-85.234826	44.305144	
222631	0	Week1	23	F	26	RICH-CO TRANSPORTATION	9461 W. KELLY, LAKE CITY MI 49651 US,   US	-85.282969	44.290114	
226912	0	Week1	23	F	27	WOLVERINE POWER COOPERATIVE	10125 W. WATERGATE RD, CADILLAC MI 49601 US,   US	-85.2995332	44.2593158	2
226912	1	Week1	23	F	28	WOLVERINE POWER COOPERATIVE	10125 W. WATERGATE RD, CADILLAC MI 49601 US,   US	-85.2995332	44.2593158	
233169	0	Week2	23	F	28	MAPLE RIDGE LIVING CENTER	2575 W. HOUGHTON LAKE ROAD, LAKE CITY MI 49651 US,   US	-85.1471748	44.3383777	2
226912	2	Week1	23	F	29	SPARTAN RENEWABLE ENERGY	10125 W. WATERGATE RD, CADILLAC MI 49601 US,   US	-85.2995332	44.2593158	
230461	0	Week1	23	F	30	D & G TRUCK REPAIR	11835 W WATERGATE, CADILLAC MI 49601 US,   US	-85.33294	44.2523	
232642	0	Week2	23	F	30	LAKE CITY BC	45 N MORLEY ROAD, LAKE CITY MI 49651 US,   US	-85.2156	44.339613	1
233276	0	Week2	23	F	33	THE PATIO ON MAIN	113 S. MAIN, LAKE CITY MI 49651 US,   US	-85.214433	44.333663	2
231800	0	Week2	23	F	35	LAKEVIEW MOTEL	214 S. MAIN, LAKE CITY MI 49651 US,   US	-85.215047	44.332355	2
228976	0	Week2	23	F	39	STAGG MACHINE	11711 W CADILLAC RD, CADILLAC MI 49601 US,   US	-85.32966	44.25201	1
231651	0	Week2	23	F	41	CURRY HOUSE	5858 S. 47 RD, CADILLAC MI 49601 US,   US	-85.356699	44.255232	1
225815	0	Week1	23	M	1	EBELS FAMILY CENTER	420 E PROSPER, FALMOUTH MI 49632 US,   US	-85.085393	44.243499	
99058	41	Week2	23	M	1	HOUGHTON LAKE SUPER 8	9580 W. LAKE CITY RD, HOUGHTON LAKE MI 48629 US,   US	-84.8039905	44.335958	2
232989	0	Week1	23	M	2	BRINKS FAMILY CREAMERY	3560 E. MULDER RD, MCBAIN MI 49657 US,   US	-85.021703	44.227937	1
232165	0	Week2	23	M	2	H.L. LAKESIDE RESORT	100 CLEARVIEW DR., HOUGHTON LAKE MI 48629 US,   US	-84.792767	44.343721	1
232763	1	Week1	23	M	3	NESTER AUTO GROUP	7566 W HOUGHTON LAKE DR, HOUGHTON LAKE MI 48629 US,   US	-84.776325	44.324003	
230988	0	Week1	23	M	4	LITTLE BOOTS CAFE	6633 W HOUGHTON LAKE DRIVE, HOUGHTON LAKE MI 48629,   US	-84.764745	44.31451	
99161	70	Week1	23	M	5	ROGERS FAMILY FOODS FIRST AID	5760 W. HOUGHTON LAKE DR, LAKE CITY MI 49651 US,   US	-84.7529631532804	44.3044018804987	
99062	70	Week1	23	M	6	ROGERS FAMILY FOOD 4992	5760 W Houghton Lake Dr, Houghton Lake MI 48629 US,   US	-84.7529631532804	44.3044018804987	
233055	0	Week1	23	M	7	SPICER'S BOAT CITY	4165 W HOUGHTON LAKE DRIVE, HOUGHTON LAKE MI 48629,   US	-84.722191	44.298101	
99061	90	Week1	23	M	8	SPT. FAMILY FARE #1501	3561 W HGHTN LK DR POB 699, HOUGHTON LK MI 48629 U,   US	-84.7121233	44.2991883	
99161	90	Week1	23	M	9	SPT FAMILY FARE 1501 FIRST AID	3561 W HGHTN LK DR POB 699, HOUGHTON LK MI 48629 U,   US	-84.7121233	44.2991883	
223019	0	Week1	23	M	10	GARRETT'S PLACE REST.	3548 W. HOUGHTON LAKE DR., HOUGHTON LAKE MI 48629,   US	-84.710884	44.298795	
232727	0	Week1	23	M	11	LAKE TRANSMISSION & TOWING	3232 W. HOUGHTON LAKE DR, HOUGHTON LAKE MI 48629 U,   US	-84.703233	44.298877	
99031	86	Week1	23	M	12	BLARNEY CASTLE #776	2403 W HOUGHTON LAKE DR, PRUDENVILLE MI 48651 US,   US	-84.687094	44.298389	
222260	0	Week2	23	M	12	POWELL'S RESTAURANT	3257A W HOUGHTON LAKE DRIVE, HOUGHTON LAKE MI 4869,   US	-84.703498	44.298329	2
222271	0	Week1	23	M	13	KORBINSKI RESORT	364 W. HOUGHTON LAKE DRIVE, PRUDENVILLE MI 48651 U,   US	-84.6499252	44.2995668	
99103	10	Week1	23	M	14	NEXT DOOR STR #5015	303 W HOUGHTON BOX 15, PRUDENVILLE MI 48651 US,   US	-84.644368	44.302713	
231079	10	Week2	23	M	14	NMCAA HOUGHTON LAKE	3225 W Houghton Lake Dr, Houghton Lake MI 48651 US,   US	-84.7025146	44.2982788	2
99031	79	Week1	23	M	15	BLARNEY CASTLE #424	567 E HOUGHTON LAKE RD, PRUDENVILLE MI 48651 US,   US	-84.633449	44.312645	
232093	0	Week1	23	M	16	RANDY'S FAMILY RESTAURANT	677 E. HOUGHTON LAKE RD, PRUDENVILLE MI 48651 US,   US	-84.631495	44.313162	
232422	0	Week2	23	M	16	GARRETT'S PRESSURE CRACK	928 W. HOUGHTON LAKE DRIVE, PRUDENVILLE MI 48651 U,   US	-84.655386	44.298745	1
222598	0	Week1	23	M	17	SPIKEHORN BAR	4955 E.HOUGHTON LAKE DR., HOUGHTON LAKE MI 48629 U,   US	-84.67835	44.35483	
233448	0	Week1	23	M	18	MOTOR MART ENGINE REBUILDING	1750 W. HOUGHTON LAKE DR, PRUDENVILLE MI 48651 US,   US	-84.672349	44.298932	
