Acct #	Cust #	Week #	New Rt	New Delivery Day	New Stop	Customer Name	DisplayAddressFull	X_Longitude	Y_Latitude
73341	0	Week1	105	F	1	NEMROC	800 BOLTON, ALPENA MI 49707 US	-83.4216	45.07438
70740	0	Week1	105	F	2	Joe's Bar	1300 Ford Ave., Alpena MI 49707 US	-83.417866	45.06883
70489	0	Week1	105	F	3	Decorative Panels Internationa	416 Ford Ave., Alpena MI 49707 US	-83.426479	45.064027
70489	3	Week1	105	F	4	Decorative Panels Internationa	416 Ford Ave., Alpena MI 49707 US	-83.426479	45.064027
70489	1	Week1	105	F	5	Decorative Panels Internationa	416 Ford Ave., Alpena MI 49707 US	-83.426479	45.064027
70524	0	Week1	105	F	6	J & J Bar & Grille	411 N. Second, Alpena MI 49707 US	-83.429562	45.064784
73470	0	Week1	105	F	7	BIGGBY COFFEE	224 E. CHISHOLM STREET, ALPENA MI 49707 US	-83.432013	45.060696
73527	0	Week1	105	F	8	POMPEYOS MEXICAN GRILL	1120 S. STATE STREET, ALPENA MI 49707 US	-83.445675	45.048626
70106	0	Week1	105	F	9	KENTUCKY FRIED CHICKEN	1130 STATE ST, ALPENA MI 49707 US	-83.446096	45.048542
70565	0	Week1	105	F	10	Mancino's - Alpena	1235 State St. 319 Parson St., Alpena MI 49707 US	-83.447651	45.048427
70641	0	Week1	105	F	11	State St. Lube	105 Mason St., Alpena MI 49707 US	-83.4485	45.04766
70530	0	Week1	105	F	12	Big Boy Ripley	400 South Ripley, Alpena MI 49707 US	-83.452781	45.048124
73395	2	Week1	105	F	13	MANGO (US-23)	2205 THUNDER BAY SHOPPING CENT, ALPENA MI 49707 US	-83.453774	45.043732
73507	0	Week1	105	F	14	FITZPATRICK HARDWARE	2733 US 23 SOUTH, ALPENA MI 49707 US	-83.463336	45.033109
71433	0	Week1	105	F	15	NICK'S SOUTHSIDE DINER	3023 US 23 South, Alpena MI 49707 US	-83.463816	45.031924
70971	1	Week1	105	F	16	Sports Unlimited	3137 US-23 South, Alpena MI 49707 US	-83.463831	45.028848
70619	0	Week1	105	F	17	GOODRICH TRUCKING	3851 WORTH ROAD, Alpena MI 49707 US	-83.524533	45.009757
73496	0	Week1	105	F	18	MIDWEST DIESEL SERVICE LLC	7230 M-32, ALPENA MI 49707 US	-83.597586	45.061156
73167	0	Week1	105	F	19	THUNDER BAY ELECTRIC	1693 M32, ALPENA MI 49707 US	-83.4863883	45.0611067
70518	0	Week1	105	F	20	Alpena County Road	1400 N. BAGLEY STREET, ALPENA MI 49707 US	-83.4732837	45.0661747
73339	0	Week1	105	F	21	CAR QUEST	115 LOCKWOOD, ALPENA MI 49707 US	-83.434746	45.062111
99053	1	Week1	105	F	22	OMNI METAL CRAFT	111 S SECOND AVE, ALPENA MI 49707 US	-83.43401	45.062269
99053	12	Week1	105	F	23	Employment Services Inc.	110 W. Chisholm St. P.O. Box 832, Alpena MI 49707 US	-83.433956	45.062487
73395	1	Week1	105	F	24	MANGOS	121 WEST CHISHOLM, ALPENA MI 49707 US	-83.433654	45.062969
73355	0	Week1	105	F	25	THE FRESH PALATE	109 N SECOND, ALPENA MI 49707 US	-83.433161	45.062726
70961	0	Week1	105	F	26	WMCR	224 WEST CHISHOLM, ALPENA MI 49707 US	-83.4348855756681	45.0634615269899
73159	0	Week1	105	F	27	MUDDY PAWS	217 W CHISHOLM, ALPENA MI 49707 US	-83.434974	45.063837
70502	0	Week1	105	F	28	Latitudes	307 W. Chisholm St., Alpena MI 49707 US	-83.435797	45.06455
70622	1	Week1	105	F	29	WOLVERINE STATE CREDIT UNION	417 W. Chisholm St., Alpena MI 49707 US	-83.437022	45.065837
70500	0	Week1	105	F	30	Players Pub & Grub	113 S. Ninth St., Alpena MI 49707 US	-83.4422808	45.0687915
70494	0	Week1	105	F	31	Alpena Supply Co.	410 S. 11th AVE, ALPENA MI 49707 US	-83.44741	45.06821
70477	0	Week1	105	F	32	Brett's Auto	1249 W. Chisholm St., Alpena MI 49707 US	-83.446906	45.074074
99152	8	Week1	105	F	33	ALPENA REGIONAL MEDICAL CENTER	1501 W. Chisholm, Alpena MI 49707 US	-83.449542	45.077664
99053	5	Week1	105	F	34	NORTHWOOD SOLUTIONS INC	4040 US - 23 North, Alpena MI 49707 US	-83.4531537	45.1066202
99052	1	Week1	105	F	35	APS BESSER ELEMENTARY SCHOOL	375 WILSON ST, Alpena MI 49707 US	-83.452565	45.084634
70608	1	Week1	105	F	36	BESSER 23 NORTH	801 JOHNSON ST, ALPENA MI 49707 US	-83.4385059	45.078044
70608	0	Week1	105	F	37	Besser Company	801 Johnson St., Alpena MI 49707 US	-83.4385059	45.078044
73063	7	Week1	105	F	38	ALCONA HEALTH-LINCOLN SCHOOL	309 WEST LAKE ST, ALPENA MI 49707 US	-83.429141	45.069381
		Week1	105	F		Alpena Depot	120 E Herman St,, Alpena 49707 US	-83.416387	45.0710235
99152	8	Week1	105	M	1	ALPENA REGIONAL MEDICAL CENTER	1501 W. Chisholm, Alpena MI 49707 US	-83.449542	45.077664
73501	0	Week1	105	M	2	ANGRY OVEN	2570 N. ST. HELEN ROAD, ST. HELEN MI 48656 US	-84.409681	44.371628
