Acct #	Cust #	Week #	New Rt	New Delivery Day	New Stop	Customer Name	DisplayAddressFull	X_Longitude	Y_Latitude
99046	5	Week1	103	F	1	DIAMOND SHELL OIL	235 WATER ST, ALPENA MI 49707 US	-83.4293885	45.0615955
70483	0	Week1	103	F	2	Alpena City Garage-uniforms	208 N. First St., Alpena MI 49707 US	-83.431224	45.06168
70483	1	Week1	103	F	3	ALPENA CITY GARAGE-MATS	208 N. FIRST STREET, ALPENA MI 49707 US	-83.431224	45.06168
70483	2	Week1	103	F	4	ALPENA PUBLIC SAFETY	208 N. FIRST STREET, ALPENA MI 49707 US	-83.431224	45.06168
70483	3	Week1	103	F	5	ALPENA CITY HALL	208 N. FIRST STREET, ALPENA MI 49707 US	-83.431224	45.06168
73530	0	Week1	103	F	6	RED BRICK TAP & BARREL	109 RIVER STREET, ALPENA MI 49707 US	-83.432515	45.063245
73140	0	Week1	103	F	7	SPECIFICATIONS STONE PRODUCTS	1009 LONG LAKE AVE, ALPENA MI 49707 US	-83.4258967	45.081886
73152	0	Week1	103	F	8	ALPENA COLLEGE - PAPER ACCT	666 JOHNSON STREET, ALPENA MI 49707 US	-83.4451563	45.0810807
73063	0	Week1	103	F	9	ALPENA SERVICES	1185 US - 23 NORTH, ALPENA MI 49707 US	-83.458447	45.091083
73063	1	Week1	103	F	10	DENTAL SERVICES	1185 US - 23 NORTH, ALPENA MI 49707 US	-83.458447	45.091083
70552	0	Week1	103	F	11	Larry's Collision	1212 US-23 North, Alpena MI 49707 US	-83.456777	45.092603
70528	0	Week1	103	F	12	Perch's IGA	1025 US-23 North Hwy., Alpena MI 49707 US	-83.457001	45.085124
99046	7	Week1	103	F	13	LONG RAPIDS SHELL OIL	999 LONG RAPIDS RD, ALPENA MI 49707 US	-83.47291	45.078439
73082	0	Week1	103	F	14	MID MICH PHYS GRP GEN SURGERY	311 LONG RAPIDS PLAZA, ALPENA MI 49707 US	-83.46437	45.0780967
73316	0	Week1	103	F	15	MEDILODGE OF ALPENA	301 LONG RAPIDS, ALPENA MI 49707 US	-83.462477	45.078165
73450	0	Week1	103	F	16	ADVANCED DERMATOLOGY	105 ARBOR LANE, ALPENA MI 49707 US	-83.460158	45.078669
99031	63	Week1	103	F	17	BLARNEY CASTLE #224	1035 W. CHISHOLM ST, ALPENA MI 49707 US	-83.444203	45.071966
99046	6	Week1	103	F	18	CHISHOLM SHELL OIL	1017 CHISHOLM ST, ALPENA MI 49707 US	-83.443944	45.071511
70531	0	Week1	103	F	19	MCINERNEY CHRYSLER, DODGE JEEP	832 W. Chisholm, Alpena MI 49707 US	-83.442668	45.069518
70597	0	Week1	103	F	20	John Boy's	817 W. Chisholm, Alpena MI 49707 US	-83.44171	45.0697
70521	0	Week1	103	F	21	Beaver's Automotive	600 N. Ripley, Alpena MI 49707 US	-83.452327	45.058731
99031	65	Week1	103	F	22	BLARNEY CASTLE #228	1000 M-32 WEST, ALPENA MI 49707 US	-83.47269	45.062484
70690	0	Week1	103	F	23	Hunan Restaurant	1283 M-32 West, Alpena MI 49707 US	-83.47685	45.061133
99052	0	Week1	103	F	24	APS SENIOR HIGH SCHOOL	2373 Gordon Rd., Alpena MI 49707 US	-83.466161	45.036612
99052	6	Week1	103	F	25	APS THUNDER BAY JR HIGH	2373 Gordon Rd., Alpena MI 49707 US	-83.466161	45.036612
99052	2	Week1	103	F	26	APS ELLA WHITE ELEMENTARY	2373 Gordon Rd., Alpena MI 49707 US	-83.466161	45.036612
70495	0	Week1	103	F	27	North Coney Island	2668 US-23 South, Alpena MI 49707 US	-83.466306	45.034935
99031	64	Week1	103	F	28	BLARNEY CASTLE #225	2222 US 23 SO., ALPENA MI 49707 US	-83.4644534220908	45.0321696966945
70526	0	Week1	103	F	29	C & S Carrier	3224 US-23 SOUTH, ALPENA MI 49707 US	-83.4658757	45.0253117
70959	0	Week1	103	F	30	Kipfmiller	2584 US 23 S., Alpena MI 49707 US	-83.464327	45.03647
70587	0	Week1	103	F	31	BOBS MUFFLER & REPAIR	2277 US-23 SOUTH COMPANY 101, Alpena MI 49707 US	-83.457327	45.0430647
70533	0	Week1	103	F	32	Ball Tire	620 S. Ripley Blvd., Alpena MI 49707 US	-83.453931	45.046389
70516	0	Week1	103	F	33	Lappan Agency	180 S. Ripley, Alpena MI 49707 US	-83.452505	45.051117
70687	0	Week1	103	F	34	DEAN ARBOUR FORD LINCOLN MERCU	1001 US-23 North, Alpena MI 49707 US	-83.4450988	45.0503698
70584	0	Week1	103	F	35	Bannan Funeral Home	222 S. Second Ave., Alpena MI 49707 US	-83.435133	45.060805
99120	0	Week1	103	F	36	MBANK	100 S. SECOND AVE., ALPENA MI 49707 US	-83.433748	45.061758
73551	0	Week1	103	F	37	HOPSIDE BREWERY	129 W. CHISHOLM ST., ALPENA MI 49707 US	-83.433987	45.063127
		Week1	103	F		Alpena Depot	120 E Herman St,, Alpena 49707 US	-83.416387	45.0710235
99061	111	Week1	103	M	1	FAMILY FARE #1510 MEAT	829 W. MAIN POB 580, GAYLORD MI 49734 US	-84.684313	45.025745
99061	120	Week1	103	M	2	FAMILY FARE #1510-DAIRY QUEEN	829 W. MAIN POB 580, GAYLORD MI 49734 US	-84.684313	45.025745
99061	118	Week1	103	M	3	FAMILY FARE #1510-DELI	829 W. MAIN POB 580, GAYLORD MI 49734 US	-84.684313	45.025745
99061	117	Week1	103	M	4	FAMILY FARE #1510-BAKERY	829 W. MAIN POB 580, GAYLORD MI 49734 US	-84.684313	45.025745
99061	116	Week1	103	M	5	FAMILY FARE #1510-STARBUCKS	829 W. MAIN POB 580, GAYLORD MI 49734 US	-84.684313	45.025745
71121	0	Week1	103	M	6	Gaylord Eye Care Center	829 W. Main Suite E, Gaylord MI 49735 US	-84.684313	45.025745
99161	203	Week1	103	M	7	SPARTAN #838 FIRST AID	835 W. MAIN STREET, GAYLORD MI 49734 US	-84.685908	45.027006
99061	203	Week1	103	M	8	SPARTAN QUICK STOP #838	835 W. MAIN STREET, GAYLORD MI 49734 US	-84.685908	45.027006
73312	0	Week1	103	M	9	BIG BOY GAYLORD	1359 N MAIN, GAYLORD MI 49735 US	-84.695808	45.026981
99031	133	Week1	103	M	10	GAYLORD WEST EZ MART #488	3400 M32 WEST, GAYLORD MI 49735 US	-84.739922	45.027891
73443	0	Week1	103	M	11	PANERA BREAD	1386 WEST MAIN, GAYLORD MI 49735 US	-84.699039	45.02785
71008	0	Week1	103	M	12	WCISEL CONSTRUCTION	1054 ANNA DR, GAYLORD MI 49735 US	-84.695003	45.029955
99058	13	Week1	103	M	13	Forwards - Gaylord North 147	1025 W. Main R#2 P.O. Box 652, Gaylord MI 49735 US	-84.691373	45.026844
99051	54	Week1	103	M	14	JET'S PIZZA MI-058	111 WEST STREET, GAYLORD MI 49735 US	-84.68651	45.027824
99161	110	Week1	103	M	15	FAMILY FARE #1510 FIRST AID	829 W. MAIN POB 580, GAYLORD MI 49734 US	-84.684313	45.025745
73460	0	Week1	103	M	16	IPEC, INC	400 WEST MAIN, GAYLORD MI 49735 US	-84.678717	45.028005
71094	0	Week1	103	M	17	MDOT-Gaylord	1088 M-32 East, Gaylord MI 49735 US	-84.6456157	45.026336
71112	0	Week1	103	M	18	BJ'S CATERING AND CONFERENCE	990 N. Center P.O. Box 1120, Gaylord MI 49734 US	-84.673417	45.040649
70850	0	Week1	103	M	19	Gaylord Sleep Center	930 N. Center Ave., Gaylord MI 49735 US	-84.672817	45.038916
71413	0	Week1	103	M	20	Bronco Oil	231 S. Indiana P.O. Box 1237, Gaylord MI 49735 US	-84.679231	45.024573
73045	0	Week1	103	M	21	ZIP'S HARLEY DAVIDSON	980 S. WISCONSIN AVE., GAYLORD MI 49735 US	-84.682025	45.016724
71087	0	Week1	103	M	22	NORTHSPORT PHYSICAL TERAPY	1622 DICKERSON RD., GAYLORD MI 49735 US	-84.688438	45.009033
73453	0	Week1	103	M	23	GREAT LAKES PLUMBING	901 DICKENSON, GAYLORD MI 49735 US	-84.687147	45.0177407
		Week1	103	M		Alpena Depot	120 E Herman St,, Alpena 49707 US	-83.416387	45.0710235
71267	0	Week1	103	R	1	Atlanta Motel	12520 STATE ST P.O. Box 206, Atlanta MI 49709 US	-84.142475	45.004433
71266	0	Week1	103	R	2	Montmorency Press	12625 State St. P.O. Box 186, Atlanta MI 49709 US	-84.1401517	45.0048765
71262	0	Week1	103	R	3	MDOT ATLANTA	13490 M-32/M-33 P.O. Box 437, Atlanta MI 49709 US	-84.1232748	45.008901
70790	0	Week1	103	R	4	Natural Gas Compression	16950 M 32, M33, ATLANTA MI 49707 US	-84.0544197	45.0091192
70665	0	Week1	103	R	5	Alpena Auto Electric	1643 M-32, Alpena MI 49707 US	-83.4850017	45.06119
70525	0	Week1	103	R	6	Applebee's	1468 M-32 W., Alpena MI 49707 US	-83.480414	45.062023
73470	1	Week1	103	R	7	BIGGBY #557	1253 M-32, ALPENA MI 49707 US	-83.481414	45.059646
70644	0	Week1	103	R	8	Alpena Diesel Service	1700 M-32 West, Alpena MI 49707 US	-83.486143	45.06225
73122	0	Week1	103	R	9	FREESE HYDRAULICS	1088 WALTER ST, ALPENA MI 49707 US	-83.4924785	45.0628138
71265	0	Week1	103	R	10	CANADA CREEK RANCH	23500 RANCH HOUSE TRAIL, ATLANTA MI 49709 US	-84.20817	45.177193
71402	0	Week1	103	R	11	ATLANTA SENIOR CENTER	11463 MACARTHUR ROAD, ATLANTA MI 49709 US	-84.150215	45.010883
73424	0	Week1	103	R	12	CHATTER'S PIT STOP	11610 M-33, ATLANTA MI 49709 US	-84.1458735	45.008677
